"Year","FieldLocation","State","City","EnvID","Pedigree","Experiment","Plot","PlotID","Block","Replicate","AnthesisDays","SilkingDays","PlantHeight","EarHeight","StalkLodging","GrainMoisture","GrainYield"
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0014/LH244","G2F_Main",1,"G2F22116961",1,1,60,61,226,103,2,14.3,138.94
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_LH212HT_0024/LH244","G2F_Main",2,"G2F22116962",1,1,63,66,240,98,0,19,182.53
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0004/LH244","G2F_Main",3,"G2F22116963",1,1,63,64,257,135,2,16.7,185.26
2022,"IAH4","IA","Ames","IA2022","PHW30_MO17-032-(2N)-01/LH244","G2F_Main",4,"G2F22116964",1,1,60,63,219,90,0,17.3,179.49
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0019/LH244","G2F_Main",5,"G2F22116965",1,1,60,63,258,133,0,16.9,212.44
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0028/LH244","G2F_Main",6,"G2F22116966",1,1,58,61,135,112,0,18.2,201.2
2022,"IAH4","IA","Ames","IA2022","PHW30/LH244","G2F_Main",7,"G2F22116967",1,1,60,63,263,133,0,18.2,210.5
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHP02_0010/LH244","G2F_Main",8,"G2F22116968",1,1,63,66,267,129,1,17.7,220.01
2022,"IAH4","IA","Ames","IA2022","PHR03/LH244","G2F_Main",9,"G2F22116969",1,1,66,68,246,112,1,22.1,228.73
2022,"IAH4","IA","Ames","IA2022","LH185/LH244","G2F_Main",10,"G2F22116970",1,1,63,64,234,202,0,18.2,168.07
2022,"IAH4","IA","Ames","IA2022","PHG39/PHN82","G2F_Main",11,"G2F22116971",1,1,63,69,243,100,7,18.7,185.09
2022,"IAH4","IA","Ames","IA2022","PHW30_MO17-010-(2N)-01/LH244","G2F_Main",12,"G2F22116972",1,1,63,66,261,130,1,20.3,202.24
2022,"IAH4","IA","Ames","IA2022","PHN11_OH43_0075/LH244","G2F_Main",13,"G2F22116973",1,1,61,63,244,130,2,18.7,154.21
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHP02_0002/LH244","G2F_Main",14,"G2F22116974",1,1,62,63,255,126,1,18.5,222.16
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0013/LH244","G2F_Main",15,"G2F22116975",1,1,61,64,250,123,2,17.8,181.26
2022,"IAH4","IA","Ames","IA2022","W10001_0013/LH244","G2F_Main",16,"G2F22116976",1,1,60,64,211,104,2,18.1,134.07
2022,"IAH4","IA","Ames","IA2022","PHW65_MOG_0271/LH244","G2F_Main",17,"G2F22116977",1,1,64,67,257,120,0,23.5,217.3
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0018/LH244","G2F_Main",18,"G2F22116978",1,1,61,62,210,92,0,17,140.5
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0016/LH244","G2F_Main",19,"G2F22116979",1,1,61,64,245,104,0,15.9,219.69
2022,"IAH4","IA","Ames","IA2022","BGEM-0089-N/LH244","G2F_Main",20,"G2F22116980",1,1,63,65,236,111,0,17.9,173.09
2022,"IAH4","IA","Ames","IA2022","W10010_0311/LH244","G2F_Main",21,"G2F22116981",2,1,61,63,210,100,0,18,203.16
2022,"IAH4","IA","Ames","IA2022","W10001_0003/LH244","G2F_Main",22,"G2F22116982",2,1,60,64,227,102,3,19.3,166.49
2022,"IAH4","IA","Ames","IA2022","MOG/LH244","G2F_Main",23,"G2F22116983",2,1,63,69,243,150,3,20.6,227.88
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHK76_0022/LH244","G2F_Main",24,"G2F22116984",2,1,63,64,252,124,2,18.9,199.91
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHJ89_0002/LH244","G2F_Main",25,"G2F22116985",2,1,63,67,229,110,0,17.9,176.29
2022,"IAH4","IA","Ames","IA2022","GEMN-0124/LH244","G2F_Main",26,"G2F22116986",2,1,66,69,243,137,0,22.9,263.29
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_LH212HT_0013/LH244","G2F_Main",27,"G2F22116987",2,1,62,64,215,92,1,19.5,175.65
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_LH212HT_0054/LH244","G2F_Main",28,"G2F22116988",2,1,60,62,220,106,0,16.8,168.58
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHN46_0003/LH244","G2F_Main",29,"G2F22116989",2,1,65,67,226,101,0,18.3,220.3
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0005/LH244","G2F_Main",30,"G2F22116990",2,1,62,63,216,105,0,16.8,107.22
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0017/LH244","G2F_Main",31,"G2F22116991",2,1,63,66,221,114,0,16.5,169.98
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0010/LH244","G2F_Main",32,"G2F22116992",2,1,60,62,214,95,2,15.9,157.75
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHP02_0003/LH244","G2F_Main",33,"G2F22116993",2,1,60,62,221,103,2,17.7,209.19
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0021/LH244","G2F_Main",34,"G2F22116994",2,1,61,65,233,112,0,19.5,193.43
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0001/LH244","G2F_Main",35,"G2F22116995",2,1,63,66,254,124,0,17.8,256.93
2022,"IAH4","IA","Ames","IA2022","PHK56/LH244","G2F_Main",36,"G2F22116996",2,1,61,64,232,113,2,18.2,240.53
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHP02_0017/LH244","G2F_Main",37,"G2F22116997",2,1,64,65,255,143,0,18.7,163.19
2022,"IAH4","IA","Ames","IA2022","GEMN-0144/LH244","G2F_Main",38,"G2F22116998",2,1,65,67,270,147,1,20.8,249.3
2022,"IAH4","IA","Ames","IA2022","PHW30_MO17-129-(2N)-01/LH244","G2F_Main",39,"G2F22116999",2,1,63,66,254,107,0,18.7,195.27
2022,"IAH4","IA","Ames","IA2022","GEMN-0271/LH244","G2F_Main",40,"G2F22117000",2,1,66,68,281,162,4,18.2,265.92
2022,"IAH4","IA","Ames","IA2022","GEMN-0238/LH244","G2F_Main",41,"G2F22117001",3,1,63,64,246,120,2,17.5,203.44
2022,"IAH4","IA","Ames","IA2022","NC386/LH244","G2F_Main",42,"G2F22117002",3,1,65,67,238,115,1,22.8,267.37
2022,"IAH4","IA","Ames","IA2022","CG119/CG108","G2F_Main",43,"G2F22117003",3,1,54,60,167,65,2,15.5,65.96
2022,"IAH4","IA","Ames","IA2022","GEMN-0187/LH244","G2F_Main",44,"G2F22117004",3,1,63,65,276,150,1,18.2,236.23
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0007/LH244","G2F_Main",45,"G2F22117005",3,1,61,63,242,118,0,17.7,179.14
2022,"IAH4","IA","Ames","IA2022","GEMN-0097/LH244","G2F_Main",46,"G2F22117006",3,1,63,64,252,120,0,17.4,258.18
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_LH212HT_0016/LH244","G2F_Main",47,"G2F22117007",3,1,61,63,247,126,0,18.7,234.78
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0002/LH244","G2F_Main",48,"G2F22117008",3,1,65,66,243,115,0,17.8,212.04
2022,"IAH4","IA","Ames","IA2022","GEMN-0177/LH244","G2F_Main",49,"G2F22117009",3,1,65,67,244,120,0,19.2,264.03
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHP02_0011/LH244","G2F_Main",50,"G2F22117010",3,1,62,64,238,98,2,16.6,261.99
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHN46_0003/LH244","G2F_Main",51,"G2F22117011",3,1,63,66,261,120,3,18.3,241.01
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHJ89_0003/LH244","G2F_Main",52,"G2F22117012",3,1,62,63,249,101,0,16.1,193.92
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHP02_0001/LH244","G2F_Main",53,"G2F22117013",3,1,61,64,237,105,5,15.1,189.27
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_LH212HT_0029/LH244","G2F_Main",54,"G2F22117014",3,1,63,64,265,137,3,18.7,263.61
2022,"IAH4","IA","Ames","IA2022","W10010_0018/LH244","G2F_Main",55,"G2F22117015",3,1,61,63,255,115,12,18,212.22
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHK76_0010/LH244","G2F_Main",56,"G2F22117016",3,1,61,62,238,118,1,16.6,159.95
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHN46_0005/LH244","G2F_Main",57,"G2F22117017",3,1,63,64,261,115,0,17.7,258.19
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_LH212HT_0023/LH244","G2F_Main",58,"G2F22117018",3,1,63,64,246,124,2,17.7,222.61
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHJ89_0017/LH244","G2F_Main",59,"G2F22117019",3,1,62,64,236,115,0,17.9,170.5
2022,"IAH4","IA","Ames","IA2022","W10001_0031/LH244","G2F_Main",60,"G2F22117020",3,1,60,63,227,107,3,16.6,111.52
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_LH212HT_0047/LH244","G2F_Main",61,"G2F22117021",4,1,61,63,230,115,0,16.4,203.26
2022,"IAH4","IA","Ames","IA2022","MO44_LH145_0138/LH244","G2F_Main",62,"G2F22117022",4,1,63,65,212,94,0,17.5,171.59
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHN46_0016/LH244","G2F_Main",63,"G2F22117023",4,1,63,64,240,97,0,19.3,204.86
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHP02_0025/LH244","G2F_Main",64,"G2F22117024",4,1,63,63,216,109,0,18.5,215.64
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHJ89_0001/LH244","G2F_Main",65,"G2F22117025",4,1,64,65,250,127,2,17.3,216.81
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0006/LH244","G2F_Main",66,"G2F22117026",4,1,65,66,234,119,2,17.8,249.32
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHJ89_0004/LH244","G2F_Main",67,"G2F22117027",4,1,62,64,215,96,1,18.5,214.1
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_LH212HT_0005/LH244","G2F_Main",68,"G2F22117028",4,1,63,64,234,114,2,19,205.46
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHN46_0023/LH244","G2F_Main",69,"G2F22117029",4,1,63,66,218,130,0,18.3,218.75
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHN46_0003/LH244","G2F_Main",70,"G2F22117030",4,1,65,66,229,129,0,20,207.72
2022,"IAH4","IA","Ames","IA2022","W10010_0118/LH244","G2F_Main",71,"G2F22117031",4,1,61,63,212,105,2,18,202.64
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHK76_0027/LH244","G2F_Main",72,"G2F22117032",4,1,63,65,218,100,0,16.9,211.92
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_LH212HT_0026/LH244","G2F_Main",73,"G2F22117033",4,1,62,64,244,110,0,16.7,236.09
2022,"IAH4","IA","Ames","IA2022","PHJ90/LH244","G2F_Main",74,"G2F22117034",4,1,61,64,214,101,0,18.2,203.27
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0001/LH244","G2F_Main",75,"G2F22117035",4,1,63,64,248,93,0,17.3,188.89
2022,"IAH4","IA","Ames","IA2022","MO44_PHW65_0035/LH244","G2F_Main",76,"G2F22117036",4,1,63,68,210,98,0,19.3,183.3
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0029/LH244","G2F_Main",77,"G2F22117037",4,1,63,65,214,99,0,17.2,181.71
2022,"IAH4","IA","Ames","IA2022","CG44/CGR01","G2F_Main",78,"G2F22117038",4,1,58,59,190,91,0,15.9,103.52
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0037/LH244","G2F_Main",79,"G2F22117039",4,1,60,63,230,85,1,16.3,160.61
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0025/LH244","G2F_Main",80,"G2F22117040",4,1,61,64,249,120,0,16.8,220.75
2022,"IAH4","IA","Ames","IA2022","GEMN-0192_PHK76_0036/LH244","G2F_Main",81,"G2F22117041",5,1,59,61,210,102,0,17.9,178.96
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHN46_0006/LH244","G2F_Main",82,"G2F22117042",5,1,66,66,256,120,0,18.5,229.19
2022,"IAH4","IA","Ames","IA2022","PHW30_MO17-234-(2N)-02/LH244","G2F_Main",83,"G2F22117043",5,1,65,66,233,98,0,19.9,197.44
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_LH212HT_0036/LH244","G2F_Main",84,"G2F22117044",5,1,63,64,235,110,0,18.6,229.51
2022,"IAH4","IA","Ames","IA2022","2369/LH123HT","G2F_Main",85,"G2F22117045",5,1,66,67,259,112,8,18.2,211.7
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHP02_0013/LH244","G2F_Main",86,"G2F22117046",5,1,61,66,256,117,0,16.3,173.74
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHJ89_0010/LH244","G2F_Main",87,"G2F22117047",5,1,61,62,218,97,0,18.2,205.59
2022,"IAH4","IA","Ames","IA2022","PHN11_PHG47_0287/LH244","G2F_Main",88,"G2F22117048",5,1,62,63,227,105,0,16.1,181.04
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHK76_0004/LH244","G2F_Main",89,"G2F22117049",5,1,61,62,231,103,0,17.1,209.75
2022,"IAH4","IA","Ames","IA2022","W10001_0021/LH244","G2F_Main",90,"G2F22117050",5,1,60,62,238,122,1,17.2,166.9
2022,"IAH4","IA","Ames","IA2022","B73/PHN82","G2F_Main",91,"G2F22117051",5,1,62,64,230,105,2,17.6,234.75
2022,"IAH4","IA","Ames","IA2022","MO44_LH145_0127/LH244","G2F_Main",92,"G2F22117052",5,1,60,63,225,110,5,16.2,190.16
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHK76_0014/LH244","G2F_Main",93,"G2F22117053",5,1,60,61,221,91,0,16.2,165.13
2022,"IAH4","IA","Ames","IA2022","PHN11/LH244","G2F_Main",94,"G2F22117054",5,1,60,62,205,88,0,18.1,175.34
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0009/LH244","G2F_Main",95,"G2F22117055",5,1,65,65,261,110,0,16.3,237.66
2022,"IAH4","IA","Ames","IA2022","B73/MO17","G2F_Main",96,"G2F22117056",5,1,64,65,252,128,5,19.4,213.94
2022,"IAH4","IA","Ames","IA2022","LH195/PHZ51","G2F_Main",97,"G2F22117057",5,1,65,66,247,128,2,16.9,197.84
2022,"IAH4","IA","Ames","IA2022","PH24E/LH244","G2F_Main",98,"G2F22117058",5,1,61,64,231,110,0,17.5,227.05
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHP02_0008/LH244","G2F_Main",99,"G2F22117059",5,1,62,64,226,86,0,17.7,191
2022,"IAH4","IA","Ames","IA2022","PHN11_OH43_0088/LH244","G2F_Main",100,"G2F22117060",5,1,61,66,232,85,0,21.7,188.39
2022,"IAH4","IA","Ames","IA2022","PHP02/LH244","G2F_Main",101,"G2F22117061",6,1,61,64,230,118,7,17.7,195.33
2022,"IAH4","IA","Ames","IA2022","LH82/LH244","G2F_Main",102,"G2F22117062",6,1,61,63,215,110,2,18.3,190.56
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_LH212HT_0027/LH244","G2F_Main",103,"G2F22117063",6,1,63,64,239,133,0,16.4,218.47
2022,"IAH4","IA","Ames","IA2022","NKH8431/LH244","G2F_Main",104,"G2F22117064",6,1,63,64,217,104,0,18.8,126.86
2022,"IAH4","IA","Ames","IA2022","W10001_0029/LH244","G2F_Main",105,"G2F22117065",6,1,59,63,225,110,13,17.7,133.43
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHN46_0005/LH244","G2F_Main",106,"G2F22117066",6,1,62,65,252,109,0,16,199.63
2022,"IAH4","IA","Ames","IA2022","GEMN-0225_PHJ89_0015/LH244","G2F_Main",107,"G2F22117067",6,1,63,66,258,160,0,18.5,234.76
2022,"IAH4","IA","Ames","IA2022","GEMN-0096_PHP02_0022/LH244","G2F_Main",108,"G2F22117068",6,1,62,65,262,115,0,16,228.88
2022,"IAH4","IA","Ames","IA2022","GEMN-0097_PHJ89_0008/LH244","G2F_Main",109,"G2F22117069",6,1,63,66,255,130,0,18.7,216.48
